transaction_id,customer_id,product,category,quantity,price,revenue,date,region
107,1995,Jacket,Clothing,9,410.27,3692.43,2024-05-13,West
108,3317,Bicycle,Sports,3,366.46,1099.38,2023-04-16,West
109,4934,Headphones,Electronics,6,343.61,2061.66,2023-04-05,West
110,1815,Cookbook,Books,7,81.73,572.11,2023-07-19,North
111,4342,Biography,Books,10,138.9,1389.0,2024-09-01,West
112,1455,Shoes,Clothing,4,,,2023-10-10,Central
113,4533,Yoga Mat,Sports,5,184.49,922.45,2023-02-07,West
114,4798,Jacket,Clothing,8,267.07,2136.56,2024-01-23,South
115,2275,Dumbbell,Sports,1,259.23,259.23,2023-10-16,East
116,2016,Shoes,Clothing,6,65.56,393.36,2024-08-04,Central
117,4773,Lamp,Home & Garden,8,,,2024-01-26,South
118,3343,Chair,Home & Garden,10,254.21,2542.1,2023-03-03,East
119,4796,Lamp,Home & Garden,1,458.51,458.51,2024-03-08,Central
120,3767,Shoes,Clothing,1,463.87,463.87,2024-07-29,Central
121,4820,Headphones,Electronics,8,489.83,3918.64,2023-03-05,Central
122,1337,Self-Help,Books,6,468.47,2810.82,2024-05-28,East
123,1878,Tablet,Electronics,1,419.69,419.69,2023-04-30,West
124,2076,Fiction Novel,Books,4,,,2023-06-12,South
125,1791,Bicycle,Sports,8,65.6,524.8,2024-06-13,East
126,4993,Chair,Home & Garden,7,431.27,3018.89,2023-03-11,North
127,3264,Lamp,Home & Garden,9,136.28,1226.52,2023-06-21,North
128,1763,Self-Help,Books,7,47.05,329.35,2023-06-07,North
129,3235,Lamp,Home & Garden,10,274.38,2743.8,2024-03-16,West
130,1379,Tablet,Electronics,5,39.63,198.15,2023-09-10,North
131,1492,Jacket,Clothing,5,466.24,2331.2,2023-07-02,West
132,4112,Chair,Home & Garden,2,62.8,125.6,2023-02-23,East
133,2180,Lamp,Home & Garden,6,457.03,2742.18,2024-12-24,Central
134,3062,Running Shoes,Sports,3,327.09,981.27,2023-10-13,North
135,4884,Shoes,Clothing,7,337.28,2360.96,2023-10-20,West
136,1064,Fiction Novel,Books,1,223.61,223.61,2023-07-18,West
137,4928,Jacket,Clothing,7,116.15,813.05,2024-04-24,South
138,4910,Shoes,Clothing,7,217.34,1521.38,2023-12-07,West
139,3568,Cookbook,Books,4,99.68,398.72,2023-09-10,West
140,2367,Shoes,Clothing,5,420.93,2104.65,2023-11-13,South
141,2152,Yoga Mat,Sports,5,282.24,1411.2,2023-06-25,West
142,3027,Smartphone,Electronics,4,53.43,213.72,2024-03-05,West
143,3695,Jacket,Clothing,9,353.24,3179.16,2024-06-21,West
144,2495,Headphones,Electronics,10,340.31,3403.1,2024-05-02,West
145,4134,Yoga Mat,Sports,4,488.21,1952.84,2024-07-06,South
146,2162,Bicycle,Sports,2,50.28,100.56,2023-09-19,East
147,2522,T-Shirt,Clothing,3,182.52,547.56,2024-05-27,North
148,3640,Lamp,Home & Garden,1,492.34,492.34,2023-05-09,Central
149,1391,Shoes,Clothing,1,64.34,64.34,2023-10-21,East
150,2698,Tablet,Electronics,4,374.55,1498.2,2023-08-12,East
151,1418,Bicycle,Sports,4,452.54,1810.16,2023-06-11,
152,3336,Headphones,Electronics,9,271.77,2445.93,2023-02-27,East
153,1378,Smartphone,Electronics,6,357.14,2142.84,2023-04-24,North
154,2796,Cookbook,Books,4,389.55,1558.2,2023-03-10,Central
155,4561,Bicycle,Sports,4,,,2024-05-10,West
156,3278,Running Shoes,Sports,8,343.58,2748.64,2023-07-19,Central
157,4065,Smartphone,Electronics,2,301.98,603.96,2023-10-19,East
158,3088,Bicycle,Sports,2,309.9,619.8,2023-07-11,North
159,4099,Shoes,Clothing,4,302.56,1210.24,2024-01-05,West
160,3182,Fiction Novel,Books,5,62.66,313.3,2023-06-20,South
161,1200,Jeans,Clothing,3,435.53,1306.59,2023-05-23,North
162,2863,Chair,Home & Garden,4,389.33,1557.32,2023-04-15,East
163,1779,Lamp,Home & Garden,8,352.35,2818.8,2023-08-23,North
164,3977,Headphones,Electronics,10,192.65,1926.5,2024-04-26,West
165,4104,Chair,Home & Garden,8,175.2,1401.6,2024-10-20,Central
166,4119,T-Shirt,Clothing,5,116.62,583.1,2024-04-18,Central
167,1502,Chair,Home & Garden,1,440.27,440.27,2024-04-06,West
168,3454,Laptop,Electronics,2,14.62,29.24,2024-03-16,Central
169,4645,Bicycle,Sports,10,467.43,4674.3,2023-07-20,North
170,2751,Self-Help,Books,1,281.95,281.95,2023-11-08,East
171,1804,Smartphone,Electronics,4,461.3,1845.2,2024-10-28,East
172,3146,Laptop,Electronics,7,382.64,2678.48,2024-09-03,West
173,3731,Smartphone,Electronics,4,487.4,1949.6,2024-04-10,East
174,2895,Jeans,Clothing,5,477.67,2388.35,2024-05-28,North
175,3773,Running Shoes,Sports,3,286.49,859.47,2024-12-06,North
176,2570,Tablet,Electronics,1,43.61,43.61,2023-10-27,North
177,1960,Running Shoes,Sports,1,118.81,118.81,2024-11-19,West
178,4810,Tablet,Electronics,9,279.35,2514.15,2023-02-25,East
179,3660,Shoes,Clothing,6,85.01,510.06,2024-05-05,North
180,2485,Smartphone,Electronics,5,181.6,908.0,2023-09-21,East
181,3690,Chair,Home & Garden,6,,,2024-08-05,North
182,4840,T-Shirt,Clothing,6,325.07,1950.42,2023-06-12,Central
183,2028,Headphones,Electronics,9,310.35,2793.15,2024-11-01,West
184,4289,Headphones,Electronics,10,397.98,3979.8,2024-11-07,West
185,1502,Tablet,Electronics,10,144.17,1441.7,2024-05-04,North
186,3814,Plant,Home & Garden,8,225.52,1804.16,2023-11-07,West
187,1397,Lamp,Home & Garden,7,257.6,1803.2,2024-10-06,East
188,1870,Headphones,Electronics,8,76.34,610.72,2024-02-08,East
189,3842,Chair,Home & Garden,6,152.78,916.68,2024-02-22,West
190,1392,Tablet,Electronics,5,28.42,142.1,2024-06-28,Central
191,1206,Plant,Home & Garden,5,480.58,2402.9,2024-01-04,South
192,2038,Dumbbell,Sports,2,411.95,823.9,2023-03-25,West
193,2881,Laptop,Electronics,5,342.81,1714.05,2024-06-01,West
194,4625,Laptop,Electronics,7,32.48,227.36,2023-08-05,South
195,3939,Cookbook,Books,2,,,2023-08-09,West
196,2484,Self-Help,Books,3,471.02,1413.06,2024-05-25,West
197,4762,T-Shirt,Clothing,3,483.94,1451.82,2024-08-08,Central
198,4646,Bicycle,Sports,2,114.75,229.5,2024-10-09,West
199,1863,Dumbbell,Sports,4,295.61,1182.44,2023-09-06,South
200,3790,Jacket,Clothing,1,23.4,23.4,2024-04-04,East
201,4312,Self-Help,Books,10,90.04,900.4,2024-07-17,South
202,1563,T-Shirt,Clothing,3,,,2023-11-12,East
203,2020,Fiction Novel,Books,5,82.54,412.7,2023-05-03,South
204,1095,Laptop,Electronics,4,307.55,1230.2,2023-04-01,Central
205,2923,T-Shirt,Clothing,7,129.7,907.9,2023-05-10,South
206,2757,Chair,Home & Garden,3,119.79,359.37,2023-08-01,East
207,3532,Biography,Books,1,352.27,352.27,2024-05-19,West
208,4478,Smartphone,Electronics,6,235.21,1411.26,2023-08-18,South
209,3278,Chair,Home & Garden,2,193.84,387.68,2023-05-24,East
210,3796,Plant,Home & Garden,6,357.16,2142.96,2024-12-11,South
211,2678,Yoga Mat,Sports,8,473.46,3787.68,2023-09-26,Central
212,4242,Self-Help,Books,8,164.43,1315.44,2024-01-28,South
213,1540,Tablet,Electronics,8,78.69,629.52,2024-04-05,South
214,2059,Biography,Books,9,,,2024-10-21,North
215,3572,Headphones,Electronics,9,146.79,1321.11,2024-09-29,North
216,2183,Fiction Novel,Books,8,64.59,516.72,2023-02-15,East
217,4910,Rug,Home & Garden,8,205.68,1645.44,2024-12-09,Central
218,2722,Bicycle,Sports,8,227.35,1818.8,2023-04-02,East
219,4314,Jacket,Clothing,1,262.94,262.94,2024-11-13,Central
220,4157,Biography,Books,3,171.16,513.48,2023-12-13,East
221,2819,Lamp,Home & Garden,4,168.71,674.84,2023-08-17,West
222,3625,Jeans,Clothing,3,467.28,1401.84,2024-10-15,West
223,3729,T-Shirt,Clothing,7,446.08,3122.56,2024-05-28,South
224,3604,T-Shirt,Clothing,1,129.95,129.95,2024-03-05,Central
225,2597,Rug,Home & Garden,6,399.52,2397.12,2023-09-10,South
226,4060,Laptop,Electronics,2,,,2023-01-07,West
227,3693,Shoes,Clothing,5,296.39,1481.95,2023-12-13,South
228,1795,Bicycle,Sports,10,,,2024-10-19,East
229,2051,Tablet,Electronics,9,310.89,2798.01,2024-05-16,West
230,2643,Chair,Home & Garden,6,178.81,1072.86,2023-02-20,East
231,4627,Jacket,Clothing,2,277.65,555.3,2023-03-23,South
232,2363,Plant,Home & Garden,10,374.53,3745.3,2023-04-28,
233,4869,Rug,Home & Garden,5,209.92,1049.6,2024-01-22,South
234,2981,Jacket,Clothing,2,424.2,848.4,2024-05-29,Central
235,2354,Plant,Home & Garden,2,497.39,994.78,2024-05-26,West
236,2663,Yoga Mat,Sports,2,169.57,339.14,2024-07-09,East
237,2529,Bicycle,Sports,10,347.78,3477.8,2023-06-24,East
238,3038,Biography,Books,10,436.35,4363.5,2023-08-02,East
239,4419,Shoes,Clothing,8,267.52,2140.16,2023-03-07,West
240,2496,Jeans,Clothing,7,255.07,1785.49,2023-04-05,South
241,4302,Jeans,Clothing,1,359.03,359.03,2024-10-09,South
242,3237,Biography,Books,8,119.6,956.8,2023-09-22,South
243,4296,Running Shoes,Sports,7,233.08,1631.56,2024-07-31,Central
244,2408,Running Shoes,Sports,1,315.16,315.16,2023-12-25,East
245,2400,Shoes,Clothing,5,332.47,1662.35,2024-02-19,South
246,2306,Plant,Home & Garden,3,231.64,694.92,2024-02-23,Central
247,3680,Laptop,Electronics,4,358.88,1435.52,2024-12-04,East
248,3675,Smartphone,Electronics,1,146.93,146.93,2024-03-31,West
249,1972,Shoes,Clothing,8,178.79,1430.32,2024-12-27,East
250,2768,Jeans,Clothing,3,349.11,1047.33,2024-11-03,East
251,2282,Dumbbell,Sports,4,249.67,998.68,2024-02-12,North
252,4430,Dumbbell,Sports,8,233.29,1866.32,2024-03-19,East
253,1709,Chair,Home & Garden,10,281.2,2812.0,2024-05-25,West
254,2479,Yoga Mat,Sports,6,132.53,795.18,2023-02-08,West
255,2434,Laptop,Electronics,7,40.55,283.85,2023-02-22,North
256,1648,Tablet,Electronics,6,40.01,240.06,2023-05-02,West
257,1317,Bicycle,Sports,8,384.66,3077.28,2023-08-19,West
258,4748,Tablet,Electronics,7,355.56,2488.92,2024-01-18,North
259,4296,Laptop,Electronics,10,237.71,2377.1,2023-06-26,East
260,4890,Laptop,Electronics,5,166.33,831.65,2024-01-18,Central
261,2257,Laptop,Electronics,3,25.56,76.68,2024-09-13,Central
262,1683,Self-Help,Books,4,154.66,618.64,2023-04-05,Central
263,1663,Jacket,Clothing,4,326.85,1307.4,2024-04-06,Central
264,2998,Rug,Home & Garden,3,28.04,84.12,2024-11-08,Central
265,4898,Cookbook,Books,5,285.54,1427.7,2024-08-05,West
266,4445,Lamp,Home & Garden,9,41.55,373.95,2024-07-25,West
267,4743,Self-Help,Books,6,263.98,1583.88,2023-02-10,South
268,2631,Self-Help,Books,4,58.94,235.76,2024-09-08,West
269,2495,Lamp,Home & Garden,4,411.92,1647.68,2024-01-10,North
270,4304,Jacket,Clothing,8,121.71,973.68,2024-11-19,West
271,4763,Bicycle,Sports,5,434.88,2174.4,2023-05-10,North
272,2136,Biography,Books,3,462.42,1387.26,2024-12-04,East
273,2853,Shoes,Clothing,10,463.55,4635.5,2023-11-07,West
274,2520,Yoga Mat,Sports,4,162.86,651.44,2023-08-13,North
275,3489,Lamp,Home & Garden,7,358.48,2509.36,2024-05-30,West
276,1563,Fiction Novel,Books,5,131.34,656.7,2024-06-01,East
277,2291,Dumbbell,Sports,3,109.56,328.68,2024-11-12,North
278,4581,Jacket,Clothing,3,269.72,809.16,2024-04-12,South
279,4878,Bicycle,Sports,10,271.65,2716.5,2024-03-29,West
280,4457,Lamp,Home & Garden,6,477.75,2866.5,2024-02-14,Central
281,4458,Yoga Mat,Sports,8,,,2024-02-08,Central
282,4184,Smartphone,Electronics,4,,,2023-02-05,East
283,2636,Cookbook,Books,1,466.34,466.34,2024-08-01,North
284,4696,Jacket,Clothing,10,408.98,4089.8,2024-08-15,West
285,3999,Shoes,Clothing,5,456.13,2280.65,2023-06-17,West
286,4152,Biography,Books,9,168.15,1513.35,2023-01-23,West
287,1698,Fiction Novel,Books,7,492.86,3450.02,2023-10-24,East
288,3160,Laptop,Electronics,4,56.9,227.6,2024-03-04,South
289,1001,Tablet,Electronics,4,330.31,1321.24,2023-03-12,East
290,1641,Jeans,Clothing,3,81.32,243.96,2023-02-21,South
291,3267,Yoga Mat,Sports,3,295.31,885.93,2024-11-19,East
292,2589,Self-Help,Books,4,77.23,308.92,2024-10-11,East
293,1854,Tablet,Electronics,5,89.48,447.4,2023-09-15,East
294,2759,Smartphone,Electronics,8,472.71,3781.68,2024-12-15,Central
295,4296,Tablet,Electronics,9,69.19,622.71,2024-12-05,North
296,3432,Yoga Mat,Sports,7,73.01,511.07,2023-08-24,West
297,4474,Jacket,Clothing,1,,,2023-08-25,North
298,2661,T-Shirt,Clothing,4,171.99,687.96,2023-12-15,West
299,2153,Headphones,Electronics,2,,,2023-10-23,South
300,2076,Yoga Mat,Sports,1,223.43,223.43,2023-12-06,South
301,2707,Bicycle,Sports,5,256.55,1282.75,2024-07-19,West
302,3777,Jeans,Clothing,7,359.18,2514.26,2023-10-23,North
303,2695,Fiction Novel,Books,7,261.94,1833.58,2023-09-12,South
304,2733,Smartphone,Electronics,1,390.55,390.55,2023-10-12,East
305,2439,Running Shoes,Sports,5,460.91,2304.55,2023-08-09,Central
306,3294,Fiction Novel,Books,10,41.12,411.2,2023-01-13,West
307,1835,Plant,Home & Garden,4,481.87,1927.48,2024-05-19,Central
308,4510,Tablet,Electronics,1,72.84,72.84,2024-04-14,West
309,1202,Lamp,Home & Garden,6,224.3,1345.8,2024-11-17,South
310,4255,Jacket,Clothing,8,95.76,766.08,2024-05-26,East
311,1122,T-Shirt,Clothing,6,462.53,2775.18,2023-09-10,East
312,1400,Jacket,Clothing,3,38.04,114.12,2024-07-15,West
313,1766,Dumbbell,Sports,7,463.04,3241.28,2024-07-18,South
314,1293,Yoga Mat,Sports,9,221.79,1996.11,2023-11-30,West
315,3327,Self-Help,Books,7,46.21,323.47,2024-03-28,South
316,4908,Chair,Home & Garden,7,324.01,2268.07,2024-09-03,East
317,3931,Shoes,Clothing,9,331.34,2982.06,2024-08-17,South
318,4681,Jacket,Clothing,2,272.0,544.0,2023-08-25,South
319,1197,Bicycle,Sports,6,347.6,2085.6,2023-02-16,West
320,4029,Bicycle,Sports,7,340.87,2386.09,2023-12-10,West
321,2930,Bicycle,Sports,9,371.77,3345.93,2023-01-19,South
322,4582,Smartphone,Electronics,9,68.14,613.26,2023-11-24,South
323,3799,Chair,Home & Garden,6,352.6,2115.6,2024-03-06,North
324,3191,Rug,Home & Garden,10,342.02,3420.2,2023-05-16,South
325,1608,Tablet,Electronics,2,144.11,288.22,2023-06-07,Central
326,4272,Jeans,Clothing,10,,,2023-05-07,Central
327,2147,Self-Help,Books,1,31.14,31.14,2024-09-20,Central
328,1186,Biography,Books,10,480.55,4805.5,2024-01-23,South
329,4397,T-Shirt,Clothing,5,118.27,591.35,2024-08-10,Central
330,3511,Biography,Books,4,130.12,520.48,2024-10-16,Central
331,4420,Bicycle,Sports,3,262.69,788.07,2024-10-15,North
332,2794,Lamp,Home & Garden,5,83.83,419.15,2023-09-14,Central
333,1659,Yoga Mat,Sports,1,276.75,276.75,2023-06-01,South
334,3811,Cookbook,Books,8,261.38,2091.04,2024-05-23,Central
335,4002,Biography,Books,5,190.87,954.35,2023-10-22,East
336,2955,Plant,Home & Garden,8,156.0,1248.0,2024-09-13,North
337,3450,Bicycle,Sports,3,72.91,218.73,2024-08-31,South
338,2369,Rug,Home & Garden,7,430.83,3015.81,2023-10-07,East
339,2986,Biography,Books,4,346.28,1385.12,2024-03-18,East
340,2534,Chair,Home & Garden,6,119.57,717.42,2024-02-02,Central
341,1146,Lamp,Home & Garden,6,340.07,2040.42,2023-03-15,South
342,4219,Biography,Books,2,273.64,547.28,2024-11-23,East
343,3911,Plant,Home & Garden,7,,,2023-07-12,North
344,2734,Dumbbell,Sports,4,396.29,1585.16,2024-10-27,Central
345,2843,Fiction Novel,Books,2,488.85,977.7,2024-05-31,East
346,1488,Chair,Home & Garden,8,342.59,2740.72,2024-01-18,East
347,3976,T-Shirt,Clothing,5,74.61,373.05,2024-03-16,West
348,2959,Running Shoes,Sports,8,53.47,427.76,2024-01-06,West
349,2663,Running Shoes,Sports,2,257.86,515.72,2024-08-30,Central
350,3598,Yoga Mat,Sports,1,479.93,479.93,2024-06-07,West
351,3385,Tablet,Electronics,5,210.99,1054.95,2024-07-29,East
352,3919,Fiction Novel,Books,2,440.76,881.52,2023-05-03,North
353,1640,Headphones,Electronics,5,463.42,2317.1,2024-06-03,South
354,2802,Rug,Home & Garden,4,399.47,1597.88,2023-07-16,West
355,3520,Self-Help,Books,9,204.71,1842.39,2023-12-30,East
356,2969,Yoga Mat,Sports,2,197.92,395.84,2023-01-14,West
357,3198,Running Shoes,Sports,6,356.62,2139.72,2024-05-05,East
358,2438,Bicycle,Sports,7,258.21,1807.47,2024-10-17,North
359,4369,Dumbbell,Sports,2,102.61,205.22,2023-06-12,Central
360,2634,Chair,Home & Garden,2,53.69,107.38,2023-01-02,Central
361,1262,Shoes,Clothing,7,,,2023-06-27,East
362,2787,Fiction Novel,Books,5,334.25,1671.25,2023-06-26,South
363,3191,T-Shirt,Clothing,7,225.02,1575.14,2023-06-06,South
364,3393,Self-Help,Books,7,491.34,3439.38,2024-06-12,West
365,1623,Dumbbell,Sports,9,141.26,1271.34,2024-01-21,North
366,2016,Smartphone,Electronics,2,113.69,227.38,2024-09-11,Central
367,4643,Lamp,Home & Garden,2,,,2024-04-25,North
368,1880,Biography,Books,8,124.08,992.64,2024-10-29,North
369,3049,Yoga Mat,Sports,8,113.76,910.08,2024-03-07,North
370,3944,Tablet,Electronics,6,302.32,1813.92,2023-10-02,Central
371,2327,Yoga Mat,Sports,9,54.35,489.15,2023-12-20,West
372,3301,Lamp,Home & Garden,9,434.21,3907.89,2023-12-19,North
373,4723,Smartphone,Electronics,5,429.67,2148.35,2023-06-04,North
374,1452,Biography,Books,7,124.76,873.32,2024-09-11,South
375,4108,Biography,Books,4,206.79,827.16,2023-04-15,Central
376,2183,Biography,Books,6,490.14,2940.84,2024-06-09,East
377,4062,Cookbook,Books,6,294.04,1764.24,2024-04-27,South
378,3056,Laptop,Electronics,9,279.78,2518.02,2023-12-24,Central
379,4304,Chair,Home & Garden,10,189.47,1894.7,2023-05-23,South
380,4170,Smartphone,Electronics,3,471.93,1415.79,2024-07-22,West
381,2682,Biography,Books,2,,,2024-09-05,North
382,3863,Lamp,Home & Garden,6,479.27,2875.62,2024-01-10,West
383,3255,Jeans,Clothing,10,405.03,4050.3,2023-01-28,North
384,2154,Jeans,Clothing,9,329.68,2967.12,2023-05-19,West
385,1403,Laptop,Electronics,4,238.65,954.6,2024-04-15,South
386,3199,Fiction Novel,Books,10,135.52,1355.2,2024-02-21,North
387,3101,Jeans,Clothing,1,445.4,445.4,2023-05-09,South
388,4191,T-Shirt,Clothing,7,236.62,1656.34,2024-03-08,South
389,2696,Running Shoes,Sports,5,435.83,2179.15,2024-04-21,South
390,4991,Dumbbell,Sports,6,325.15,1950.9,2024-04-14,South
391,1627,Plant,Home & Garden,4,100.24,400.96,2023-11-21,East
392,1586,Plant,Home & Garden,9,187.85,1690.65,2024-03-21,Central
393,2648,Cookbook,Books,9,451.2,4060.8,2023-05-14,West
394,2443,Shoes,Clothing,3,368.03,1104.09,2024-10-02,North
395,2445,Smartphone,Electronics,8,214.72,1717.76,2023-06-28,
396,1103,Smartphone,Electronics,10,393.9,3939.0,2023-02-21,West
397,4923,Running Shoes,Sports,3,139.84,419.52,2023-10-09,Central
398,1253,Lamp,Home & Garden,5,419.2,2096.0,2024-06-14,Central
399,4298,Cookbook,Books,8,87.97,703.76,2024-11-01,North
400,4183,Dumbbell,Sports,1,178.29,178.29,2024-01-04,South
401,3557,Bicycle,Sports,1,319.41,319.41,2024-12-04,South
